index,open,high,close,min
996726,1.16035,1.16051,1.16035,1.16042
996786,1.16021,1.16023,1.16003,1.16009
996846,1.15984,1.15986,1.15982,1.15985
996906,1.16007,1.16007,1.15995,1.15997
996966,1.16041,1.16041,1.16036,1.16036
997026,1.16023,1.16043,1.1602,1.16025
997086,1.15778,1.15778,1.15739,1.15765
997146,1.15694,1.15711,1.15692,1.15706
997206,1.15654,1.15673,1.15645,1.15646
997266,1.15566,1.15581,1.1556,1.15577
997326,1.15607,1.15619,1.15601,1.15608
997386,1.1559,1.15604,1.15589,1.15595
997446,1.15613,1.1563,1.1561,1.15618
997506,1.15443,1.15443,1.15354,1.15359
997566,1.15551,1.15556,1.15535,1.15551
997626,1.15655,1.15656,1.1564,1.15649
997686,1.15796,1.15803,1.1578,1.1579
997746,1.15745,1.15749,1.15744,1.15746
997806,1.15798,1.15804,1.15793,1.15795
997866,1.15854,1.15859,1.15852,1.15856
997926,1.15793,1.15793,1.15793,1.15793
997986,1.15802,1.1582,1.15801,1.15819
998045,1.15828,1.15832,1.15828,1.15828
998104,1.15871,1.15875,1.15868,1.15869
998164,1.15853,1.15853,1.15807,1.1582
998224,1.15965,1.15967,1.15939,1.15943
998284,1.16045,1.16045,1.16024,1.16035
998344,1.15962,1.15975,1.15961,1.15975
998403,1.15944,1.15947,1.15934,1.15936
998463,1.15931,1.15932,1.15894,1.15894
998523,1.15637,1.1568,1.15632,1.15663
998583,1.15558,1.15598,1.15554,1.15593
998643,1.15685,1.15688,1.15669,1.15674
998703,1.15748,1.15748,1.1573,1.15748
998763,1.15944,1.15946,1.15932,1.15934
998823,1.15794,1.1583,1.15794,1.15828
998883,1.15846,1.15856,1.1584,1.15849
998943,1.16265,1.16266,1.16236,1.16242
999003,1.1625,1.16257,1.16235,1.1624
999063,1.16186,1.16209,1.16185,1.162
999123,1.16209,1.1622,1.16205,1.16219
999183,1.16214,1.16218,1.16212,1.16213
999243,1.16238,1.16239,1.16217,1.16221
999303,1.16312,1.16316,1.163,1.16311
999363,1.16284,1.16291,1.16284,1.16291
999423,1.16329,1.16344,1.16329,1.1634
999483,1.16323,1.16323,1.16317,1.16323
999543,1.16345,1.16351,1.16341,1.16351
999603,1.1645,1.16455,1.16447,1.16454
999663,1.16441,1.16443,1.16435,1.16442
999723,1.16468,1.16468,1.16463,1.16466
999783,1.16343,1.16352,1.16343,1.16352
999843,1.16337,1.16343,1.16334,1.16343
999903,1.16225,1.16227,1.16171,1.16182
999963,1.16211,1.1622,1.16175,1.16179
1000023,1.16225,1.16237,1.16213,1.16237
1000083,1.16356,1.16368,1.16338,1.16341
1000143,1.1621,1.16211,1.16188,1.16197
1000203,1.16279,1.16286,1.16251,1.16286
1000263,1.16297,1.16306,1.16288,1.16292
1000323,1.16415,1.16441,1.16413,1.16441
1000383,1.16409,1.16409,1.1636,1.16376
1000443,1.1631,1.16325,1.16268,1.16269
1000503,1.16231,1.16231,1.16193,1.16208
1000563,1.16245,1.16256,1.16241,1.16255
1000623,1.16195,1.16205,1.16191,1.16202
1000683,1.16253,1.16253,1.16226,1.16242
1000743,1.16196,1.16243,1.16185,1.16242
1000803,1.16214,1.16218,1.16212,1.16212
1000862,1.16224,1.16233,1.16222,1.16227
1000919,1.16245,1.16245,1.16242,1.16244
1000979,1.16197,1.16205,1.16197,1.16202
1001039,1.16182,1.16203,1.16182,1.16198
1001099,1.16231,1.16235,1.16231,1.16232
1001159,1.16192,1.16197,1.16191,1.16191
1001219,1.16237,1.16237,1.16237,1.16237
1001279,1.16289,1.16293,1.16288,1.16292
1001339,1.16242,1.16242,1.16219,1.16219
